date,score,confidence,market_state,strategy,attack_ok,attack_met,attack_note,defend_ok,defend_met,defend_note,account_focus,suggested_position,position_low,position_high,operation_hint
2026-08-25,58,中,震荡筑底,轻仓试错,,,,,,,华泰 HT + 银河 YH；国元 GY 降权/少开新,25–35%,25,35,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（当日宽度修复但上证仍低于 MA5/MA10、成交缩量、昨日贵金属今日兑现，属结构性轮动非趋势确认）
2026-08-26,65,中,反弹初期,轻仓试错,,,,,,,当前行情偏防守+短线，华泰 HT + 银河 YH；国元 GY 降权/少开新,30–40%,30,40,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（MA5 刚收复但 MA10/MA60 仍下、量能未放大，资源/券商/算力偏强但通信链偏弱，宜题材短打不宜追加速）
2026-08-27,79,高,反弹确认,积极参与,,,,,,,,45–55%,45,55,当前大盘稳、有明显进攻信号和主线，适合做行业主线；买点可以激进，个股做小波段（今日价涨放量，仍不追极端加速、距 MA5 延伸约 ≤3%）
2026-08-28,63,中,反弹确认,轻仓试错,,,,,,,,30–40%,30,40,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（今日前100 36:63、行业轮动快，不宜按 8/27 科技主线惯性追）
2026-08-31,82,高,主升阶段,积极参与,,,,,,,,30–50%,30,50,当前大盘稳、有明显进攻信号和主线，适合做行业主线；买点可以激进，个股做小波段（今日传媒/AI 资金×涨跌共振，但仍守五选一距 MA5 延伸约 ≤3%）
2026-09-01,66,高,反弹确认,轻仓试错,,,,,,,,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（今日农化/种业强、科技弱，前100 24:74 印证权重拖累）
2026-09-02,36,中,震荡筑底,防守,,,,,,,,20–30%,20,30,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（今日上证破 MA5、涨跌 1456:3795、前100 31:69）
2026-09-03,46,中,震荡筑底,轻仓试错,,,,,,,,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（上证仍低于 MA5、涨跌 1795:3430、前100 52:48 与全市场背离）
2026-09-04,47,中,震荡筑底,轻仓试错,,,,,,,,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（上证仍低于 MA5、涨跌 2323:2857、前100 35:65 弱于全市场）
2026-09-07,67,中,反弹初期,轻仓试错,,,,,,,,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（上证仍低于 MA5、虽 PCB/CPO 主线清晰但指数未站线确认）
2026-09-08,62,中,反弹初期,轻仓试错,,,,,,,,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（上证刚站 MA5 但 MA10/MA60 未过、主线由科技切周期/农业、前100 45:55 背离）
2026-09-09,53,中,震荡筑底,轻仓试错,false,2,有通信/PCB 局部领涨、指数向上，但红盘家数未增、成交量未放大 → 不升格进攻。,false,2,红盘家数减少、绿盘占优；有领涨方向、指数未向下 → 不升格防守。,HT + YH；GY 降权。,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（上证站 MA5 但 MA10 争夺、缩量 -5.3%、宽度 1746:3495、主线通信/PCB 与 AI/传媒快速切换）
2026-09-10,27,中,下跌趋势,防守,false,0,无领涨方向、指数未向上、红盘家数未增、成交量未放大 → 不升格进攻。,true,4,无领涨方向、指数向下、红盘家数减少、绿盘占优 → 宜防守。,HT + YH；GY 降权。,≤20%,,20,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（上证破 MA5、955:4512、缩量 -11.2%、农业链领跌）
2026-09-11,26,中,下跌趋势,防守,false,1,指数未向上、红盘家数反降（643＜955）、无清晰 risk-on 主线（通信/军工孤立，电子/半导体大幅流出）；仅成交量放大 → 不升格进攻。,true,4,无领涨方向、指数向下、红盘家数减少、绿盘占优 → 宜防守。,HT + YH；GY 降权。,20–30%,20,30,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（上证破四均线、643:4870、放量 -1.18%、电子/半导体主力大幅流出）
2026-09-14,48,中,震荡筑底,轻仓试错,false,2,指数未向上、成交量未放大（16431＜19872）；红盘家数增加、医药/CRO 有 risk-on 局部主线 → 不升格进攻。,false,1,仅指数向下 → 不升格防守。,HT + YH；GY 降权。,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（四均线仍线下、医药/CRO 局部强但通信/半导体主力流出、前100 46:52）
2026-09-15,30,中,下跌趋势,防守,false,0,无清晰 risk-on 领涨方向、指数未向上、红盘家数未增、成交量未放大 → 不升格进攻。,true,4,无领涨方向、指数向下、红盘家数减少、绿盘占优 → 宜防守。,HT + YH；GY 降权。,20%,20,20,当前大盘不稳下跌，不适合做行业主线；概念题材也只宜轻仓短打或观望（四均线全线下、宽度 1120:4376 冰点、中位数弱于指数）
2026-09-16,62,中,反弹初期,轻仓试错,true,4,半导体/通信科技 risk-on 主线清晰、指数向上、红盘家数大增、成交量放大 → 可偏进攻。,false,0,有领涨方向、指数未向下、红盘家数未减、绿盘未占优 → 不升格防守。,HT + YH；GY 降权。,30–40%,30,40,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（MA5 争夺、四均线仍下压，科技主线清晰但未确认趋势反转）
2026-09-17,38,中,震荡筑底,防守,false,0,无 risk-on 科技领涨、指数未向上、红盘家数较昨日锐减、成交量未放大 → 不升格进攻。,true,4,无领涨方向、指数向下、红盘家数减少、绿盘占优 → 宜防守。,HT + YH；GY 降权。,20–30%,20,30,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（四均线仍下压、宽度退潮、科技资金流出，农业/连板为短线溢价非趋势主线）
2026-09-18,78,中,反弹确认,积极参与,true,4,半导体/芯片 risk-on 主线清晰、指数向上、红盘家数较昨日大增、成交量明显放大 → 可偏进攻。,false,0,有领涨方向、指数未向下、红盘家数未减、绿盘未占优 → 不升格防守。,GY + YH；HT 降权。,50%,50,60,当前大盘稳、有明显进攻信号和主线，适合做行业主线；买点可以激进，个股做小波段（半导体/芯片资金×涨跌共振、宽度骤升、上证站回 MA5）
2026-09-21,75,中,反弹确认,积极参与,false,3,成交量未较上一交易日放大 → 不升格进攻。,false,0,有领涨方向、指数未向下、红盘家数未减、绿盘未占优 → 不升格防守。,GY + YH；HT 降权。,50–55%,50,55,当前大盘稳、有明显进攻信号和主线，适合做行业主线；买点可以激进，个股做小波段（医药/CRO/医疗服务资金×涨跌共振 + 宽度延续；半导体链宜看分歧不宜盲追）
2026-09-22,62,中,反弹确认,轻仓试错,false,2,红盘家数未较上一交易日增加、宽度背离削弱领涨可信度 → 不升格进攻。,false,2,存在 AI/传媒 risk-on 主线、指数未向下 → 不升格防守。,HT + YH；GY 降权。,35–45%,35,45,当前大盘震荡、没方向，放弃大盘，关注强势题材，个股高抛低吸（AI/传媒/医药有主线，但全市场绿盘占优、中位数弱于指数，不宜当行业主升无脑追）
